s = AJ44J, new = AAA44
s = 33848, new = 88334
s = 66366, new = 36666
s = KQKJK, new = KKKKQ
s = 47767, new = 77746
s = T723K, new = 32K7T
s = JQAKT, new = QKTAA
s = 3JQ34, new = 33QQ4
s = 54622, new = 64522
s = 34634, new = 63344
s = 7K784, new = 477K8
s = T4T4T, new = 44TTT
s = QQQQJ, new = QQQQQ
s = J2J79, new = 27999
s = 8AT8T, new = TTA88
s = 55KKK, new = KKK55
s = 88JQQ, new = 88QQQ
s = 83Q52, new = Q3258
s = J7J7T, new = T7777
s = 973JK, new = KK397
s = A5555, new = 5555A
s = Q868Q, new = 886QQ
s = Q3AQ7, new = QQ37A
s = K73KJ, new = KKK73
s = TK5KK, new = KKK5T
s = TAAAK, new = KTAAA
s = 2AQTT, new = TTQ2A
s = TJ5T5, new = TTT55
s = TT23T, new = 3TTT2
s = A9749, new = 9974A
s = 39TJ9, new = T3999
s = K6242, new = 6K422
s = 444K4, new = 4444K
s = 5J55Q, new = 555QQ
s = 6K6T6, new = T666K
s = KAJ36, new = 6K3AA
s = 7J388, new = 88837
s = 444QQ, new = 444QQ
s = 7A7Q7, new = AQ777
s = 57333, new = 73335
s = AATAA, new = AAAAT
s = 575J5, new = 75555
s = 52545, new = 55524
s = 629KJ, new = 269KK
s = 47A74, new = A4477
s = J9JJ9, new = 99999
s = 2K2K9, new = 22KK9
s = J33J2, new = 23333
s = Q2926, new = 226Q9
s = Q67TA, new = T7A6Q
s = A8533, new = A8335
s = 6Q6KQ, new = 66QQK
s = 54444, new = 44445
s = 7327K, new = K3277
s = 4A3K8, new = A3K48
s = JKTQ2, new = KKQ2T
s = 477Q7, new = Q4777
s = 66A6T, new = 666AT
s = 44924, new = 29444
s = 4J262, new = 42266
s = JJ366, new = 36666
s = 56555, new = 55556
s = 97J77, new = 77779
s = 8Q4KQ, new = QQ4K8
s = 852Q5, new = Q8552
s = 9KT48, new = 49K8T
s = 29TQ4, new = 4TQ92
s = Q47T2, new = 47QT2
s = 9J944, new = 44999
s = 2Q792, new = 22Q79
s = 7K897, new = 7798K
s = 577J7, new = 57777
s = 5QQ5J, new = QQQ55
s = QQQ92, new = 29QQQ
s = 22272, new = 72222
s = 8Q8Q8, new = 888QQ
s = 3KKK9, new = 39KKK
s = Q47A7, new = Q77A4
s = 76777, new = 77776
s = T8J34, new = 4TT83
s = Q5999, new = 5999Q
s = JJ29T, new = 29TTT
s = 88837, new = 73888
s = 22662, new = 66222
s = 44K72, new = 442K7
s = JAAQ6, new = 6AAAQ
s = 94J9Q, new = Q9994
s = T477T, new = 477TT
s = 3T82J, new = 82TT3
s = 43424, new = 32444
s = 63668, new = 38666
s = T2T2T, new = TTT22
s = 8A66Q, new = 866AQ
s = 4KKJ7, new = 74KKK
s = T4TTQ, new = 4QTTT
s = 77989, new = 99877
s = 37JA7, new = 773AA
s = 78944, new = 79844
s = 7AJ6Q, new = QAA76
s = 6KJQ2, new = 2Q6KK
s = 386A3, new = 33A68
s = 87777, new = 77778
s = KKJJT, new = KKKKT
s = 4639J, new = 36499
s = 9T473, new = 349T7
s = 88K8J, new = 8888K
s = 443A4, new = A4443
s = 79767, new = 77769
s = 84448, new = 44488
s = Q258T, new = 2Q8T5
s = TKTTT, new = KTTTT
s = KKK4K, new = 4KKKK
s = 36655, new = 35566
s = 6QAJJ, new = AAA6Q
s = 5JA3Q, new = AA53Q
s = TTJTT, new = TTTTT
s = 37QKK, new = KK7Q3
s = 8Q322, new = Q8223
s = J7724, new = 42777
s = 4T4TJ, new = TTT44
s = 23559, new = 92355
s = TT999, new = 999TT
s = J2J94, new = 99942
s = AA5A5, new = 55AAA
s = 33J35, new = 53333
s = J858Q, new = 8885Q
s = 99259, new = 25999
s = TT45K, new = 4K5TT
s = KKKJ7, new = KKKK7
s = 2A59T, new = AT952
s = K474Q, new = 7K44Q
s = AQ7T2, new = Q7A2T
s = 683KT, new = T3K68
s = Q2T2Q, new = TQQ22
s = 33442, new = 33442
s = K999K, new = 999KK
s = 9Q2J2, new = 922QQ
