s = AJ44J, new = A4444
s = 33848, new = 88334
s = 66366, new = 36666
s = KQKJK, new = KKKKQ
s = 47767, new = 47776
s = T723K, new = K72T3
s = JQAKT, new = QTTAK
s = 3JQ34, new = 3334Q
s = 54622, new = 62254
s = 34634, new = 64433
s = 7K784, new = 4K877
s = T4T4T, new = 44TTT
s = QQQQJ, new = QQQQQ
s = J2J79, new = 72999
s = 8AT8T, new = A88TT
s = 55KKK, new = KKK55
s = 88JQQ, new = QQQ88
s = 83Q52, new = 83Q52
s = J7J7T, new = 7777T
s = 973JK, new = KK397
s = A5555, new = 5555A
s = Q868Q, new = 88QQ6
s = Q3AQ7, new = AQQ37
s = K73KJ, new = 7KKK3
s = TK5KK, new = KKKT5
s = TAAAK, new = KTAAA
s = 2AQTT, new = Q2ATT
s = TJ5T5, new = TT555
s = TT23T, new = 32TTT
s = A9749, new = A4997
s = 39TJ9, new = 9993T
s = K6242, new = 4K622
s = 444K4, new = K4444
s = 5J55Q, new = Q5555
s = 6K6T6, new = TK666
s = KAJ36, new = K366A
s = 7J388, new = 88873
s = 444QQ, new = 444QQ
s = 7A7Q7, new = QA777
s = 57333, new = 33357
s = AATAA, new = TAAAA
s = 575J5, new = 75555
s = 52545, new = 24555
s = 629KJ, new = KK296
s = 47A74, new = A7744
s = J9JJ9, new = 99999
s = 2K2K9, new = KK229
s = J33J2, new = 23333
s = Q2926, new = 22Q96
s = Q67TA, new = QTA76
s = A8533, new = 5A833
s = 6Q6KQ, new = KQQ66
s = 54444, new = 44445
s = 7327K, new = 377K2
s = 4A3K8, new = 84A3K
s = JKTQ2, new = TQK22
s = 477Q7, new = 4Q777
s = 66A6T, new = 666AT
s = 44924, new = 44429
s = 4J262, new = 22264
s = JJ366, new = 36666
s = 56555, new = 55556
s = 97J77, new = 97777
s = 8Q4KQ, new = 84KQQ
s = 852Q5, new = 2Q855
s = 9KT48, new = 9KT84
s = 29TQ4, new = 2TQ49
s = Q47T2, new = 7T42Q
s = 9J944, new = 44499
s = 2Q792, new = 9Q227
s = 7K897, new = 779K8
s = 577J7, new = 57777
s = 5QQ5J, new = 555QQ
s = QQQ92, new = 9QQQ2
s = 22272, new = 22227
s = 8Q8Q8, new = 888QQ
s = 3KKK9, new = KKK39
s = Q47A7, new = 4AQ77
s = 76777, new = 77776
s = T8J34, new = 44T83
s = Q5999, new = Q5999
s = JJ29T, new = TTT29
s = 88837, new = 37888
s = 22662, new = 66222
s = 44K72, new = 447K2
s = JAAQ6, new = 6AAAQ
s = 94J9Q, new = 4999Q
s = T477T, new = 4TT77
s = 3T82J, new = 83T22
s = 43424, new = 44432
s = 63668, new = 83666
s = T2T2T, new = 22TTT
s = 8A66Q, new = 66QA8
s = 4KKJ7, new = KKK74
s = T4TTQ, new = 4QTTT
s = 77989, new = 77998
s = 37JA7, new = 777A3
s = 78944, new = 44897
s = 7AJ6Q, new = 6QQA7
s = 6KJQ2, new = QK622
s = 386A3, new = A3386
s = 87777, new = 87777
s = KKJJT, new = KKKKT
s = 4639J, new = 36994
s = 9T473, new = T4379
s = 88K8J, new = K8888
s = 443A4, new = A4443
s = 79767, new = 96777
s = 84448, new = 44488
s = Q258T, new = 8TQ25
s = TKTTT, new = KTTTT
s = KKK4K, new = KKKK4
s = 36655, new = 36655
s = 6QAJJ, new = QAAA6
s = 5JA3Q, new = 3AQQ5
s = TTJTT, new = TTTTT
s = 37QKK, new = 3KK7Q
s = 8Q322, new = 822Q3
s = J7724, new = 24777
s = 4T4TJ, new = 44TTT
s = 23559, new = 55932
s = TT999, new = 999TT
s = J2J94, new = 44429
s = AA5A5, new = 55AAA
s = 33J35, new = 53333
s = J858Q, new = Q8885
s = 99259, new = 99952
s = TT45K, new = 4K5TT
s = KKKJ7, new = KKKK7
s = 2A59T, new = 295AT
s = K474Q, new = Q7K44
s = AQ7T2, new = 72ATQ
s = 683KT, new = 86K3T
s = Q2T2Q, new = TQQ22
s = 33442, new = 33442
s = K999K, new = KK999
s = 9Q2J2, new = 222Q9
s = 2J727, new = 22777
